Gene;modal_value;error_steps
NRAS;1;4.77
RBX1;1;0
TOP2A;1;2.54
PRKAA1;1;3.23
NAMPT;1;2.42
CUL1;1;0.85
OGG1;1;0.08
MAOA;1;3.32
NQO1;1;2.62
ATR;1;1.25
POLR2A;1;0
DDB1;1;0.46
PPIA;1;2.85
USP7;1;0.17
SUMO1;1;1.23
XPO1;1;0
TYMS;1;0
DPP4;1;1.69
RACK1;1;0
GAPDH;1;0.15
UBE2D1;1;4.08
MMP14;1;4
HSP90AB1;1;2.62
UBE2I;1;0
YWHAE;1;0.15
NBN;1;2.77
FASN;1;1
CCNB1;1;2.77
STK11;1;1.15
SKP1;1;0.08
CHI3L1;1;3.18
PAK1;1;2.69
KPNB1;1;0
PARK7;1;0
YWHAQ;1;4.77
KDM1A;1;0.92
AURKB;1;3.85
RAN;1;0
G6PD;1;0
UBE2D3;1;3.62
HSPA9;1;0.23
ROCK1;1;4.38
UBE2D2;1;3.31
EEF1A1;1;1.9
KPNA2;1;2.08
DDX3X;1;2.16
MAP3K7;1;2.31
MSH6;1;0.25
HNRNPA2B1;1;3.75
TXN;1;0.31
SMARCB1;1;1.69
PIN1;1;0
CLTC;1;0.85
EIF2AK2;1;3.69
MAP2K1;1;1.38
XRCC3;1;0.62
MRE11;1;0.08
HDAC6;1;2.08
MIR21;;
MIR146A;;
MIR155;;
MIR34A;;
HBB-LCR;;
MALAT1;;
MIR145;;
C9orf72;;
RIGI;;
CCN2;;
H2AX;;
H19;;
H3C1;;
GBA1;;
