Gene;modal_value;error_steps
PCDH1;12;3.5
ZBTB45;12;2.85
DRAXIN;12;0.82
TBX18;12;2.92
ADGRL4;12;3.69
CNIH3;12;5.38
BLOC1S3;12;1.42
ADAMTS10;12;2.15
COL24A1;12;4.46
COLQ;12;2.38
CRISPLD1;12;5.69
CA5B;12;5.08
XK;12;0.92
IFFO1;12;0.62
GNGT1;12;2.54
ZBTB44;12;2.08
DOCK11;12;6.08
LBH;12;0
RNF152;12;2.77
FNDC1;12;3.69
TNN;12;4.01
CRLF1;12;2
SYTL3;12;4.83
GDF3;12;2
EFNA2;12;1.23
ZNF438;12;1.77
ARL14;12;4.62
TMEM74;12;1.15
GEM;12;4.67
SMTNL2;12;3.54
TJP3;12;3.08
MGAT4A;12;4.54
OMG;12;3.54
CNST;12;0.55
FAM234A;12;2.92
OTOR;12;1.23
NHSL2;12;0.77
CABP7;12;4.15
IFITM5;12;0.46
P2RY4;12;1.31
MGARP;12;0.78
COL27A1;12;3.92
ORAI2;12;4.46
UMODL1;12;1.69
CLDN24;12;1.88
CDH12;12;2.23
ZP1;12;2.34
TFAP2E;12;3.67
ARHGAP42;12;5.77
CRACR2B;12;3.54
PCOLCE2;12;3.08
SLC46A2;12;4.23
DNER;12;4.85
BOC;12;3
ABRA;12;4.31
CLDN22;12;2.12
COX8A;12;2.13
OTOL1;12;2.25
CRYGN;12;1.85
STMN3;12;3.31
FKBP7;12;5
BAIAP2L2;12;2.62
TMEM150C;12;2.69
ATP1B4;12;3.15
RBP7;12;1.25
MPP3;12;3.58
ARHGAP31;12;3.09
FRMD3;12;4.23
LRRTM4;12;3.77
NRROS;12;3.77
EPB41L4B;12;3.92
GPATCH2L;12;2.15
ADAP2;12;6.62
CYP27C1;12;6.08
HOXC11;12;3.38
TESC;12;3.69
RNF19A;12;6.38
TMEM25;12;0.27
PLLP;12;3.08
IKZF5;10;2.85
RBM14-RBM4;10;3.61
MYL5;10;5.01
SLC35G5;10;5.5
ARHGAP11B;9;3.82
USPL1;9;2.15
ZAR1;9;1.15
CYP39A1;9;2.85
NRSN1;9;0.85
DTHD1;9;0.82
NTNG2;9;1.27
CILP2;9;1.86
WFDC1;9;1.46
ANKRD36C;7;5.27
GSC2;7;4.35
RNF139;7;1.69
MAGEA2B;7;1.05
PHYHIP;7;2.79
TMCC1;7;1.46
VSX2;7;2.54
VGLL2;7;1.85
BNC1;7;1.54
GLDN;7;1.54
GKAP1;7;0.92
PDZD4;7;1.92
ROGDI;7;0
SKOR1;7;1.69
ZNF236;7;1.54
OTOP1;7;0.85
ZNF683;7;4.4
SYDE2;7;2.69
DALRD3;7;1.31
DIRAS2;7;2.15
OSR1;7;2.69
FBXL16;7;2.23
CAPRIN2;7;2.38
KCNIP1;7;2.38
MIDN;7;0.69
IRX6;7;2.92
PIK3AP1;7;1.38
LRRC20;7;2.15
DCST2;7;0
PNLIPRP1;7;2.95
SDK2;7;1.46
PHTF2;7;1.54
KIAA0753;6;0
CCDC33;6;1.46
DGCR6L;6;3.63
ZCWPW1;6;3.15
UGT2B11;6;4.46
NUDT14;6;2.31
HMGXB3;6;1.85
FAM47E;6;3.11
SPATA24;6;0.91
SCGN;6;1.46
CSMD3;6;1.77
BHLHA15;6;3.48
ERICH6B;6;6.08
AXDND1;6;2.85
GATD1;6;1.92
CCDC28B;6;1.54
MOSPD3;6;5.08
MOSPD1;6;0.23
ST18;6;1.85
TXNDC11;6;1.54
GAS2L3;6;3.55
STUM;6;2
BLOC1S4;6;2.08
CCDC34;6;2.31
CCDC24;6;1.19
APBA3;6;2
ACR;6;5.4
LAMTOR4;6;0.55
GPATCH2;6;1.62
UNKL;6;2.85
FAM200B;6;3.13
TUSC2;6;1.23
CENPO;6;2.31
CTRL;6;3.33
ZNF704;6;2.15
EFCAB11;6;1.85
MIIP;6;2.34
NSUN7;6;2
ARHGAP20;6;2.62
BTBD7;6;1.08
EFCAB5;6;1.77
INTU;6;0
DRAM2;6;1.54
CCDC150;6;2.18
SVEP1;6;1.85
TMEM86A;6;2.31
PLEKHM2;6;1.54
SNX24;6;1.92
ADGRA1;6;3.08
BMP8A;6;4.76
RTL9;6;4.09
ESPN;6;2.15
ITGAD;6;4.78
OPN1MW;6;3.7
SCRT2;6;1.62
ZWILCH;4;1.08
EML6;4;2.23
CFAP221;4;1.27
GPANK1;4;2.14
SLC38A9;4;0.69
ANKRD54;4;2.38
SLC52A2;4;5.12
PLXDC2;4;3.08
HEPHL1;4;3
WHRN;4;1.69
VWA3A;4;1.92
TTC14;3;2.69
RBM18;3;1
PI4K2B;3;1.85
RFX6;3;2.31
BEST4;3;2.15
COMMD5;3;1
MFSD11;3;0.38
CYP8B1;3;2.18
NT5DC1;3;0.69
SLC16A8;3;3.43
BIN3;3;0.31
SNX13;3;0.69
CCDC158;3;4.81
USP17L28;3;2.8
CHURC1-FNTB;3;1.03
TSEN34;3;0.46
PLD4;2;3.08
THAP4;2;3.62
MEIS3;2;5.64
NCKAP1L;2;3.92
SLC25A14;2;2.46
DHRS12;2;0.38
BPNT1;2;0.54
RNF148;2;5.75
ANXA13;2;2.08
SETD4;2;0.38
ANO8;2;2.15
AKR7L;2;4.72
PRELID3A;2;2.54
ANP32D;2;1
PURG;2;3.38
POLD4;2;3.8
HSPA12B;2;3
PIGQ;2;2.23
BSDC1;2;1.38
UNC93A;2;0.31
DNAJC14;2;5.02
RWDD4;2;0.31
TMEM63A;2;0.85
SLC35E2B;2;0.27
TCP11L1;2;1.85
MGAM;2;3.92
SLC39A13;2;1.77
MFSD12;2;0.15
SLC14A2;2;3
ACTR6;2;0.38
ZMAT5;2;0.77
PTAR1;2;1.08
ZRSR2;1;3.94
TBC1D19;1;0.62
HTRA4;1;3.37
PDILT;1;6.31
SLC27A5;1;5.34
AK8;1;1.62
RAB41;1;7
VPS8;1;0.77
PIWIL3;1;4.85
TTC29;1;1.62
CYP4A22;1;6.73
ATP6V1E2;1;4.92
SLC25A35;1;1.62
RENBP;1;0
LIAS;1;0.08
UPP2;1;3.15
DAGLA;1;1.62
ACOT11;1;3.08
STAG3;1;4.75
ANKEF1;1;4.69
PRPF40B;1;2.85
DYNLRB2;1;0.69
SLC7A6;1;2.85
ELMOD3;1;0.69
PDE1B;1;2.23
SLC2A8;1;2.32
PPP4R4;1;0
TSSK1B;1;4.57
DPEP2;1;1.85
NIPAL1;1;4.23
CGNL1;1;4.92
TYW1;1;0.23
DNAAF3;1;0.64
TXNDC8;1;5.12
CSNK1A1L;1;7.38
DTD2;1;0.77
CCDC146;1;0.15
PTDSS2;1;0.31
SOX14;1;3.62
AP1S3;1;3.77
NME8;1;2.69
RSPH9;1;0.62
POLR3H;1;0.08
TATDN2;1;3.71
ENTPD2;1;3.15
CA13;1;5.15
OVCA2;1;0.77
DYNLT3;1;3.54
ZDHHC7;1;3.92
RIBC2;1;1.92
ALOXE3;1;4.02
PTPDC1;1;3.92
UBXN11;1;1.08
UBQLN3;1;4.28
UBR3;1;1.46
CRYL1;1;0
TTL;1;0.38
ALDH8A1;1;0.15
TPTE;1;0.43
DNAH17;1;2.08
HSD17B14;1;3.31
HHIPL1;1;1.92
SLC25A42;1;1.08
ACSM5;1;4.41
TBC1D3F;1;5.7
SLC16A14;1;3.46
ERI2;1;4.15
SPNS3;1;3.64
DYRK3;1;2.23
ACSF2;1;0.46
RPS4Y2;1;8.45
ENOSF1;1;0.46
HAO2;1;1.77
COMTD1;1;0.08
ECE2;1;2.69
RANGRF;1;3.49
NDUFAF7;1;0
ARHGDIG;1;4.73
ZDHHC6;1;1
SLX1A;1;0.15
GALM;1;0
CTSO;1;2.38
DOHH;1;0
CCDC63;1;1.15
MRM1;1;0.08
MPPED2;1;2.85
NME9;1;3.4
PLBD2;1;1.31
TTC5;1;0.54
LCTL;1;1.08
DTWD2;1;0.23
AGBL3;1;4.25
KDELR3;1;5.08
ZBTB8OS;1;0
MIR151A;;
PWWP3B;;
MIR4295;;
RNA45S3;;
MIR3175;;
LINC00491;;
HNF1A-AS1;;
MIR632;;
SPMAP2;;
SHFL;;
MIR655;;
MIR875;;
WASH6P;;
MIR325;;
NPTN-IT1;;
YJU2;;
GGT3P;;
KRABD3;;
KICS2;;
H2AB3;;
MIR487B;;
LINC00313;;
LTAP1;;
RAP1BL;;
MIR524;;
MICOS10;;
MIR1258;;
MARCHF10;;
LINC00958;;
GAS8-AS1;;
TYW2;;
BKGD;;
GOLGA2P10;;
LINC02381;;
MIR641;;
RNR4;;
MIR2682;;
LBX2-AS1;;
ARK2C;;
IFTAP;;
RPS26P11;;
MIR618;;
RNA18S4;;
ZNG1C;;
COXFA4L2;;
MIR637;;
SUMO1P3;;
MIR664B;;
MIR1238;;
MAFIP;;
MIR502;;
SPMIP4;;
ERVK3-1;;
MIR9-3HG;;
ELAPOR2;;
PABIR2;;
TTTY15;;
DENND11;;
BLTP3B;;
MUC8;;
SLC38A12;;
RNU4-2;;
MIR939;;
MIR579;;
PMS2P1;;
PABIR3;;
MIR1269A;;
