Gene;modal_value;error_steps
MED18;2;1.31
ISG20;2;4.17
PIGG;2;0.69
CYBRD1;2;2.31
FAM136A;2;1.31
ATG101;2;1.85
PIGN;2;0
SLC25A17;2;0.23
KDM5D;2;5.48
PSMG2;2;0.31
NUFIP1;2;1.23
PRX;2;4.35
TUBGCP5;2;1.15
HGH1;2;1.2
C1D;2;1.78
GRAMD1B;2;2.62
ZBED1;2;5.32
TMEM87A;2;2.54
RNF6;2;2.62
UBE3B;2;0.58
SCAI;2;0.15
PCGF3;2;1.54
USB1;2;0.69
TP53I3;1;0
WASHC1;1;0.78
TM9SF4;1;0.54
MINPP1;1;0.38
TULP3;1;4.15
DDI2;1;2.62
ZNFX1;1;0.83
RALGAPB;1;2.31
SLC30A2;1;2.26
ATP8A1;1;1.75
CMBL;1;0.31
ZDHHC8;1;4.72
CHD9;1;4.5
RDH13;1;1.92
DMXL2;1;3.23
TRMU;1;0
DGKD;1;5.23
FAHD1;1;0.15
ARL8A;1;3.46
HSD17B8;1;0.77
ECI1;1;0.23
CPT1C;1;8.28
OXR1;1;4.23
NECAP2;1;2.08
DPEP1;1;0.85
ATG4A;1;2.31
DUSP2;1;3.92
WDR35;1;0
ABCB9;1;0.85
ERI1;1;0.69
AP4E1;1;0.23
MAF1;1;0.38
CAMKK1;1;1.46
KCNJ4;1;4.54
SLC7A7;1;3.77
NCEH1;1;1.54
RNF185;1;1.46
PRKAG3;1;3.46
POTEF;1;2
SEPSECS;1;0
SPG21;1;0.23
AGXT2;1;0.23
SMOX;1;2.08
ATP9A;1;3.83
MPST;1;1.69
TACO1;1;0
NSMCE1;1;0.62
DNAH9;1;3.17
ZDHHC20;1;2.85
PPWD1;1;0
DECR2;1;0.08
LIPF;1;5.32
BDH1;1;3.46
GPD1;1;1.77
RPF1;1;0
AKR1D1;1;3.54
PLAC8;1;5.46
DOCK3;1;3.69
SENP8;1;0.23
HACD2;1;1.15
MSH4;1;0.08
SLC5A3;1;1.33
DDX4;1;2.69
MOCS1;1;0.38
UGT2B4;1;6.05
SLC27A3;1;5.22
NLN;1;3.46
KDSR;1;0.46
ALKBH1;1;0.15
MIPEP;1;0.31
CRTAC1;1;0.08
ZDHHC3;1;1.62
CUTA;1;2.32
SCRN1;1;4.69
MAP3K12;1;2.62
ZNHIT6;1;2.55
POTEJ;1;0.5
MCAT;1;0
STX10;1;3.85
SEPHS1;1;1.15
EFL1;1;0.08
GDE1;1;0.38
WARS2;1;0
SLC35A1;1;3
MTMR4;1;4.46
PRPF39;1;0.54
UPP1;1;4.08
CHKB;1;2.65
MFSD8;1;0.92
CKMT2;1;4.77
HCFC2;1;3.85
UFSP2;1;1.31
GPD1L;1;3.62
OGDHL;1;2.54
PGAM2;1;2.62
PARS2;1;0.77
MRI1;1;0
RBM23;1;3.46
NOMO3;1;0.25
ZNF593;1;0.46
LCLAT1;1;0.54
ACSM3;1;0.85
RETSAT;1;0
ABCB8;1;0.46
MACROD2;1;4.38
PLPBP;1;0
KYNU;1;0
THG1L;1;0
TNNI3K;1;3.31
MOCS2;1;0
MSRB2;1;0.85
SGMS2;1;4.08
HIBCH;1;0
COMMD3;1;1
STK11IP;1;5.63
HECW2;1;4.92
GLCE;1;1.54
LHPP;1;2
LPIN2;1;3.77
SLC9A9;1;3.15
KCNT1;1;2.54
NUDT12;1;0.92
ATP4A;1;4.18
MRPS18C;1;3.23
RAB2B;1;2.85
ATPAF2;1;0.15
N4BP2;1;3.85
CYTH3;1;4.67
CTDSPL;1;1.62
IL4I1;1;1.09
CORO2A;1;3.23
TBC1D22B;1;2.46
DUSP11;1;4.4
INPP5B;1;0.83
TBCK;1;1.23
HINT2;1;1.15
LUCAT1;;
BMAL2;;
MIRLET7F1;;
KGD4;;
MIR873;;
C15orf39;;
HYCC1;;
MIR625;;
MIR339;;
ATP5MC1;;
MIR452;;
NHSL3;;
MIR539;;
MIR638;;
MIR1271;;
BANCR;;
CASC9;;
HBB-3'HS1;;
H2AC17;;
MIRLET7A3;;
DOP1B;;
MIR154;;
DYNC2I1;;
TENT5A;;
PTENP1;;
MIR885;;
MIR942;;
MIR208A;;
DYNC2I2;;
C19orf12;;
HAGLR;;
NIBAN1;;
H2AC13;;
DLEU1;;
RMP64;;
RESF1;;
SNHG15;;
KIR2DP1;;
BLTP3A;;
MIR671;;
MIR665;;
KPLCE;;
TPTEP2-CSNK1E;;
KIR3DP1;;
HOXA-AS2;;
