transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
knownGene.uc001ajn.1.1	HES5	Transcription factor HES-5 (Hairy and enhancer of split 5).	chr1	-	2450767	2451463	2450043,2451144,2451409,	2451048,2451310,2451544,
knownGene.uc001ajs.1.1.inc	TNFRSF14	Homo sapiens mRNA for TNFRSF14 protein variant protein.	chr1	-	2482314	2486260	2479150,2480082,2482264,2483000,2484510,2485144,2486245,	2479831,2480114,2482355,2483156,2484636,2485253,2486613,
knownGene.uc001akf.1.1	PRDM16	PR domain containing 16 isoform 1	chr1	+	2975683	3340235	2975603,3092548,3150510,3291575,3302914,3309214,3311162,3311918,3317807,3320983,3324251,3325090,3332004,3332474,3337295,3338389,3340100,	2975720,3092898,3150561,3291710,3303017,3309422,3311310,3312072,3319224,3321071,3324421,3325168,3332174,3332649,3337532,3338564,3345045,
knownGene.uc001akk.1.1.inc	MEGF6	EGF-like-domain, multiple 3	chr1	-	3400897	3421871	3394365,3397335,3399062,3400194,3400794,3401036,3402313,3403078,3403656,3404794,3406011,3406219,3407056,3407389,3407600,3408219,3411631,3411845,3412531,3414218,3414981,3415498,3416293,3417206,3417973,3418429,3420973,3421825,3430547,3437503,	3397013,3397383,3399191,3400221,3400923,3401165,3402442,3403207,3403785,3404923,3406140,3406348,3407188,3407518,3407732,3408345,3411766,3411980,3412660,3414347,3415113,3415669,3416416,3417326,3418111,3418552,3421096,3421951,3430670,3437872,
knownGene.uc001akw.1.1.inc	BC042129	Homo sapiens, clone IMAGE:5162922, mRNA.	chr1	+	3681818	3682324	3679211,3679486,3681722,3682218,	3679265,3679605,3681907,3682380,
knownGene.uc001aly.1.1	HKvbeta2.1	CDNA FLJ16180 fis, clone BRHIP3000240, highly similar to Homo sapiens potassium channel beta 2 subunit (HKvbeta2.2) mRNA.	chr1	+	6034183	6081221	6028567,6034157,6055401,6056379,6064841,6067850,6070113,6071654,6073035,6073909,6077046,6077969,6078176,6079282,6079915,6081131,	6028830,6034401,6055445,6056417,6064921,6067895,6070158,6071698,6073122,6073954,6077132,6078090,6078271,6079403,6080004,6083110,
knownGene.uc001aml.1.1	PCCMT	Homo sapiens prenylcysteine carboxyl methyltransferase (PCCMT) mRNA, complete cds.	chr1	-	6207726	6216286	6203839,6214548,6216120,6217051,6217532,6218363,	6207909,6214766,6216290,6217158,6217621,6218631,
knownGene.uc001amn.1.1.inc	HES3	Transcription factor HES-3 (Hairy and enhancer of split 3).	chr1	+	6227066	6228100	6226231,6226982,6227194,6227756,6228285,	6226498,6227093,6227276,6228254,6228682,
knownGene.uc001amz.1.1.inc	ESPN	espin	chr1	+	6431605	6442709	6430689,6431287,6431539,6434249,6434479,6439830,6440007,6442645,	6430764,6431449,6431738,6434395,6434743,6439910,6440019,6443591,
knownGene.uc001anr.1.1	KIAA0720	Homo sapiens mRNA for KIAA0720 protein, partial cds.	chr1	-	6450467	6451726	6449885,6451688,	6451233,6451888,
knownGene.uc001aoc.1.1	THAP3	THAP domain-containing protein 3.	chr1	+	6607865	6615724	6607511,6607796,6611145,6612934,6615037,6615442,	6607601,6607939,6611338,6613000,6615142,6616209,
knownGene.uc001aoj.1.1.inc	CAMTA1	CAMTA1 protein (Fragment).	chr1	+	7719635	7733989	7718990,7719577,7719901,7720605,7727481,7728491,7730356,7732417,7733845,7735105,7749105,	7719187,7719656,7720217,7721129,7727669,7728738,7730428,7732438,7734039,7735180,7752351,
knownGene.uc001aon.1.1.inc	PER3	period 3	chr1	+	7767635	7786388	7766966,7767300,7768087,7769367,7770691,7776606,7781171,7783759,7785693,7786338,	7767023,7767652,7768233,7769483,7770893,7776655,7781320,7783838,7785800,7786605,
knownGene.uc001aqa.1.1.inc	PIK3CD	Homo sapiens phosphoinositide-3-kinase, catalytic, delta polypeptide, mRNA (cDNA clone IMAGE:5215630), with apparent retained intron.	chr1	+	9693136	9698377	9634389,9692749,9693068,9698185,	9634447,9692925,9693241,9698414,
knownGene.uc001aqx.1.1	KIF1B	kinesin family member 1B isoform b	chr1	+	10214973	10359232	10194260,10214894,10238891,10241137,10244549,10250024,10250796,10254146,10254885,10255658,10258072,10258965,10260630,10261741,10264966,10273726,10274691,10277730,10278304,10279226,10279541,10279818,10302687,10304353,10306528,10307402,10308755,10317164,10319301,10319718,10320015,10322413,10324694,10325876,10328489,10330405,10331293,10335275,10343573,10344336,10345927,10347744,10348053,10351111,10353785,10356960,10357498,10357899,10359189,	10194383,10215079,10238968,10241317,10244615,10250203,10250908,10254224,10254951,10255676,10258148,10259044,10260773,10261783,10265178,10273806,10274767,10277810,10278411,10279310,10279722,10279891,10302781,10304502,10306707,10307540,10309004,10317283,10319387,10319848,10320178,10322504,10324813,10325932,10328598,10330472,10331378,10335381,10343688,10344470,10345989,10347890,10348293,10351183,10353907,10357110,10357691,10358018,10364242,
knownGene.uc001arq.1.1.inc	AK022285	Homo sapiens cDNA FLJ12223 fis, clone MAMMA1001110.	chr1	-	10642371	10643163	10640650,10642345,	10641220,10644042,
knownGene.uc001ary.1.1.inc	SRM	spermidine synthase	chr1	-	11037632	11039317	11037235,11037605,11038424,11038654,11039247,	11037529,11037728,11038570,11038738,11039428,
knownGene.uc001ash.1.1	RP1-69M21.1	Novel protein (Fragment).	chr1	+	11483636	11519330	11461881,11483633,11485321,11497033,11498012,11498644,11500106,11501998,11502362,11503330,11506585,11507819,11509294,11512199,11512430,11513550,11514208,11517024,11517654,11518121,11518967,	11462016,11484732,11485541,11497170,11498147,11498805,11500246,11502147,11502524,11503492,11506699,11507956,11509479,11512330,11512603,11513677,11514354,11517184,11517768,11518288,11520194,
knownGene.uc001ats.1.1	TNFRSF8	tumor necrosis factor receptor superfamily,	chr1	+	12124944	12125175	12108544,12108826,12118231,12124930,	12108696,12108880,12118257,12126851,
knownGene.uc001aty.1.1.inc	KIAA0453	CDNA FLJ10619 fis, clone NT2RP2005472.	chr1	+	12296792	12318353	12294097,12294456,12296758,12300715,12302140,12304452,12305179,12306349,12310291,12312472,12315869,12318348,	12294269,12294569,12296971,12300981,12302274,12304608,12305390,12306424,12310498,12312562,12316010,12320632,
knownGene.uc001aug.1.1	AK127828	Homo sapiens cDNA FLJ45931 fis, clone PLACE7001759, weakly  similar to Arylacetamide deacetylase (EC 3.1.1.-).	chr1	+	12698930	12708550	12698704,12703471,12707775,	12698934,12703535,12711313,
knownGene.uc001avb.1.1	RP4-597A16.1	Novel leucine rich repeat domain containing protein.	chr1	-	13674900	13712675	13674031,13712044,	13675154,13712829,
knownGene.uc001avu.1.1	C1orf126	Uncharacterized protein C1orf126.	chr1	-	15319774	15351496	15315035,15317409,15319659,15320054,15323310,15351373,	15316890,15317987,15319780,15320142,15323456,15351547,
knownGene.uc001awe.1.1	KIAA1937	CDNA FLJ36564 fis, clone TRACH2009851.	chr1	+	15552007	15596496	15544498,15551959,15557192,15559560,15561724,15564909,15566545,15568452,15573584,15574685,15579783,15580313,15581110,15596379,	15544606,15552067,15557366,15559786,15561809,15565016,15566705,15568585,15573714,15574813,15579879,15580534,15581276,15597209,
knownGene.uc001awy.1.1	RSC1A1	regulatory solute carrier protein, family 1,	chr1	+	15858950	15860804	15858950,	15860804,
knownGene.uc001axa.1.1	PLEKHM2	Pleckstrin homology domain containing, family M (With RUN domain) member 2.	chr1	+	15883640	15933016	15883413,15915318,15915788,15916974,15917619,15918815,15920410,15924398,15926095,15927160,15927348,15927750,15928183,15928878,15929613,15930273,15930970,15931431,15931693,15932878,	15883700,15915425,15915898,15917074,15917707,15919002,15920470,15924627,15926914,15927230,15927439,15927815,15928272,15929011,15929804,15930339,15931130,15931611,15931810,15933851,
knownGene.uc001ayb.1.1	ARHGEF19	Homo sapiens cDNA FLJ33962 fis, clone CTONG2018900, moderately similar to PROBABLE GUANINE NUCLEOTIDE REGULATORY PROTEIN TIM.	chr1	-	16397668	16404631	16397185,16398231,16400863,16401497,16403840,16404168,16404432,16404619,16405012,16405261,16406029,	16397826,16398336,16400943,16401656,16404001,16404258,16404507,16404749,16405155,16405422,16406292,
knownGene.uc001ayj.1.1	RP11-430L17.2-001	Putative MAPK activating protein.	chr1	+	16566339	16594222	16566306,16590456,16592309,16594119,	16566390,16590506,16592564,16595451,
knownGene.uc001azv.1.1.inc	KIAA0445	Homo sapiens mRNA for KIAA0445 protein, partial cds.	chr1	+	17168218	17170711	17167284,17168866,17169334,17169717,17170546,17171441,	17168422,17169016,17169535,17169849,17170729,17172047,
knownGene.uc001azz.1.1	DKFZp761H191	Homo sapiens mRNA for putative ATPase, partial.	chr1	-	17185066	17188822	17185039,17185886,17186127,17187219,17187403,17188772,17188968,	17185440,17186038,17186351,17187316,17187556,17188852,17189085,
knownGene.uc001bag.1.1.inc	PADI2	peptidyl arginine deiminase, type II	chr1	-	17278470	17304106	17278112,17281626,17282807,17283680,17285602,17291489,17292648,17294990,17302068,17303959,17318361,	17278497,17281734,17282919,17283784,17285781,17291615,17292766,17295052,17302141,17304143,17318535,
knownGene.uc001bbd.1.1	FLJ00074	FLJ00074 protein (Fragment).	chr1	-	19107641	19116006	19103361,19109422,19110464,19111043,19115983,	19107747,19109553,19110557,19111164,19116108,
knownGene.uc001bbg.1.1	RP5-1126H10.1	Retinoblastoma-associated factor 600 (RBAF600).	chr1	-	19273912	19303198	19273586,19275820,19277056,19280429,19283584,19285225,19285759,19286896,19287839,19291899,19292393,19293029,19293986,19294625,19295603,19296273,19298677,19299456,19300600,19303164,19303665,	19273977,19275983,19277147,19280654,19283779,19285351,19285902,19287010,19288058,19291999,19292567,19293220,19294106,19294733,19295731,19296361,19298758,19299654,19300722,19303338,19303997,
knownGene.uc001bbt.1.1.inc	AFAR3	Homo sapiens partial mRNA for aflatoxin B1 aldehyde reductase (AFAR3 gene).	chr1	-	19466428	19468709	19465062,19467652,19468352,19468663,19469531,19469828,	19466542,19467782,19468452,19468760,19469636,19470016,
knownGene.uc001bcq.1.1.inc	TMCO4	transmembrane and coiled-coil domains 4	chr1	-	19944699	19979751	19944611,19945535,19946242,19954713,19969621,19970387,19979659,19986105,19999277,	19944731,19945679,19946340,19954846,19969649,19970562,19979846,19986197,19999345,
knownGene.uc001bcs.1.1	OTUD3	OTU domain-containing protein 3.	chr1	+	20081593	20106826	20081497,20089464,20093447,20096619,20103346,20103970,20105511,20106649,	20081814,20089613,20093560,20096742,20103478,20104067,20105696,20112022,
knownGene.uc001bct.1.1	PLA2G2E	phospholipase A2, group IIE	chr1	-	20119386	20122639	20119386,20121377,20121696,20122599,	20119529,20121484,20121835,20122697,
knownGene.uc001bdn.1.1.inc	PINK1	PTEN induced putative kinase 1 precursor	chr1	+	20844682	20849690	20844587,20847584,20848074,20849513,	20844803,20847712,20848311,20850591,
knownGene.uc001bdq.1.1	KIF17	kinesin family member 17	chr1	-	20863663	20883953	20863095,20865293,20869500,20871017,20881732,20883888,20884331,	20863842,20865411,20869571,20871276,20881964,20884100,20884363,
knownGene.uc001bdt.1.1	SH2D5	SH2 domain-containing protein 5.	chr1	-	20920871	20925137	20918811,20921835,20922705,20923162,20923475,20924999,20926080,20926602,20931260,	20921075,20921995,20922814,20923331,20923715,20925146,20926155,20926683,20931720,
knownGene.uc001beh.1.1	EIF4G3	eukaryotic translation initiation factor 4	chr1	-	21140455	21201822	21140324,21140570,21149082,21168553,21172081,21179413,21180127,21196680,21201792,21249945,21288217,21310402,21367040,	21140475,21141410,21149191,21168676,21172179,21179528,21180307,21196713,21201888,21250074,21288293,21310463,21367119,
knownGene.uc001bel.1.1.inc	ece-1d	Homo sapiens mRNA for endothelin-converting enzyme-1c, complete cds.	chr1	-	21471827	21489230	21471778,21478270,21489149,	21471991,21478412,21489293,
knownGene.uc001bfi.1.1	HSPG2	Homo sapiens mRNA for Basement membrane-specific heparan sulfate proteoglycan core protein precursor variant protein.	chr1	-	22022395	22028505	22021323,22022695,22023200,22023385,22023616,22023783,22026942,22027109,22027334,22027914,22028462,	22022568,22022799,22023284,22023456,22023695,22023859,22026999,22027232,22027506,22028159,22029793,
knownGene.uc001bfv.1.1.inc	KIAA0478	Homo sapiens mRNA for KIAA0478 protein, partial cds.	chr1	+	22705206	22711081	22700655,22705128,22707080,22707609,22708179,22710258,22710755,	22701521,22705321,22707217,22707811,22708313,22710427,22711214,
knownGene.uc001bgh.1.1.inc	CR607811	full-length cDNA clone CS0DI006YL02 of Placenta Cot 25-normalized of Homo sapiens (human).	chr1	-	23210016	23213091	23209913,23212962,23214851,	23210181,23213125,23214930,
knownGene.uc001bgj.1.1	AOF2	amine oxidase (flavin containing) domain 2	chr1	+	23218676	23282444	23218532,23229548,23243506,23249466,23252840,23254148,23255011,23256563,23258152,23265139,23267618,23268140,23270304,23271203,23272371,23276307,23278069,23278632,23280525,23281299,23282258,	23219027,23229714,23243566,23249600,23252919,23254241,23255118,23256645,23258247,23265151,23267761,23268231,23270439,23271277,23272483,23276440,23278257,23278747,23280653,23281446,23282771,
knownGene.uc001bhc.1.1.inc	UPLC1	Homo sapiens UPLC1 mRNA for up-regulated in liver cancer 1, complete cds.	chr1	-	23641637	23683156	23641580,23650558,23651776,23654960,23655201,23683084,23683551,	23641692,23650608,23651851,23655106,23655274,23683232,23683644,
knownGene.uc001biu.1.1.inc	CRF2/12	Homo sapiens putative class II cytokine receptor CRF2/12 (CRF2/12) mRNA, complete cds.	chr1	-	24356335	24360747	24353233,24358128,24358550,24360618,24368493,24386267,	24356968,24358259,24358710,24360761,24368678,24386338,
knownGene.uc001bjc.1.1.inc	RP3-462O23.2-002	Novel protein.	chr1	-	24559949	24590727	24556075,24559927,24568750,24572778,24578729,24582978,24590637,24600395,24612750,	24557696,24560118,24568916,24572887,24578900,24583080,24590756,24600533,24612817,
knownGene.uc001bkn.1.1.inc	pp6318	Homo sapiens mRNA for mannosidase, alpha, class 1C, member 1 variant protein.	chr1	+	25980157	25982837	25979791,25981662,25982740,	25980190,25981778,25983527,
knownGene.uc001blp.1.1.inc	CATSPER4	cation channel, sperm associated 4	chr1	+	26389846	26400510	26389705,26390364,26392864,26396763,26397034,26397363,26398961,26399907,26400431,26401566,	26389918,26390508,26392966,26396861,26397155,26397497,26399136,26400119,26400597,26401620,
knownGene.uc001bmx.1.1	ARID1A	AT rich interactive domain 1A isoform a	chr1	+	26971630	26979834	26970196,26971577,26971892,26972423,26972657,26972879,26973406,26974654,26978100,	26970404,26971710,26972065,26972574,26972795,26972976,26974298,26974785,26981188,
knownGene.uc001bnw.1.1	SYTL1	synaptotagmin-like 1	chr1	+	27544412	27552930	27541099,27544374,27546498,27546885,27547044,27548157,27548475,27548729,27549049,27549466,27549871,27550335,27550533,27552360,27552790,	27541228,27544603,27546647,27546958,27547090,27548230,27548576,27548843,27549210,27549563,27550030,27550414,27550633,27552566,27553008,
knownGene.uc001bnz.1.1	MAP3K6	mitogen-activated protein kinase kinase kinase	chr1	-	27557254	27560929	27557233,27557496,27557786,27558494,27558935,27559318,27559782,27559998,27560234,27560423,27560597,27560782,	27557397,27557689,27557944,27558600,27559072,27559446,27559916,27560086,27560330,27560473,27560705,27560945,
knownGene.uc001boi.1.1	FGR	proto-oncogene tyrosine-protein kinase FGR	chr1	-	27812011	27814658	27811387,27812316,27813527,27813947,27814531,	27812220,27812448,27813681,27814024,27814761,
knownGene.uc001bqj.1.1.inc	TRSPAP1	TRSPAP1 protein.	chr1	+	28763904	28776684	28752115,28752738,28759731,28763801,28766392,28770274,28770965,28776598,	28752236,28752836,28760497,28763933,28766512,28770437,28770999,28777644,
knownGene.uc001bsz.1.1	TINAGL1	P3ECSL	chr1	+	31821397	31825167	31785704,31789722,31790617,31821336,31821648,31822865,31823073,31823338,31823627,31823940,31824897,31825026,	31785778,31789845,31790751,31821429,31821763,31822989,31823224,31823528,31823673,31824064,31824943,31825874,
knownGene.uc001btf.1.1	PEF1	penta-EF hand domain containing 1	chr1	-	31868800	31870824	31868057,31870682,	31869030,31870841,
knownGene.uc001bti.1.1	COL16A1	FP1572.	chr1	-	31890838	31893633	31890434,31891786,31892054,31892979,31893501,31894285,31895220,31896675,31897101,31898772,31899253,31899601,31899847,31900521,31900774,31903359,31903770,31904069,31904224,31905762,31906352,31906989,31907998,	31891041,31891864,31892231,31893046,31893690,31894632,31895256,31896765,31897152,31898826,31899307,31899646,31899892,31900575,31900846,31903422,31903806,31904123,31904269,31905816,31906406,31907043,31908594,
knownGene.uc001btt.1.1.inc	SPOCD1	SPOC domain containing 1	chr1	-	32028940	32034816	32028617,32030402,32030865,32031465,32031934,32032311,32034780,32036394,32036629,	32029440,32030589,32030955,32031616,32032085,32032423,32034903,32036511,32036853,
knownGene.uc001bue.1.1	DKFZp564C2082	Hypothetical protein DKFZp564C2082 (Novel protein) (FLJ10315 protein) (CDNA FLJ13269 fis, clone OVARC1000984).	chr1	+	32311235	32340861	32311115,32313138,32313790,32314950,32315351,32329859,32332971,32338629,32340618,	32311239,32313265,32314010,32315034,32315506,32330199,32333159,32338750,32341052,
knownGene.uc001bvc.1.1	HDAC1	histone deacetylase 1	chr1	+	32568768	32571232	32567667,32568955,32569661,32569863,32570277,32570888,32571204,	32568874,32569096,32569770,32569994,32570430,32570937,32571811,
knownGene.uc001bvj.1.1.inc	DKFZp686B09139	Hypothetical protein DKFZp686B09139.	chr1	-	32606625	32617022	32603362,32614449,32616157,32616402,32616911,32619401,32622017,32624966,32632267,32632591,	32606738,32614929,32616236,32616471,32617027,32619456,32622127,32625083,32632328,32632614,
knownGene.uc001bvv.1.1	KIAA1522	hypothetical protein LOC57648	chr1	+	33003957	33011075	33003854,33005974,33006249,33006839,33007860,33008067,33011052,	33004015,33006145,33006305,33006963,33007974,33010629,33013158,
knownGene.uc001bvx.1.1	YARS	tyrosyl-tRNA synthetase	chr1	-	33014168	33019328	33013426,33017569,33018272,33019235,33020591,	33014279,33017711,33018466,33019333,33021943,
knownGene.uc001bwm.1.1.inc	IBRDC3	IBR domain containing 3.	chr1	-	33176679	33187907	33174641,33176584,33180439,33182206,33183701,33184589,33186409,33187756,33202238,	33175497,33176716,33180647,33182347,33183816,33184752,33186551,33187962,33202301,
knownGene.uc001bwu.1.1.inc	ADC	ornithine decarboxylase-like protein	chr1	+	33330351	33358262	33319335,33322141,33330237,33331469,33332735,33334894,33336254,33356089,33358231,	33319696,33322315,33330410,33331604,33332901,33335057,33336367,33356304,33358582,
knownGene.uc001bxk.1.1.inc	ZSCAN20	zinc finger protein 31	chr1	+	33717605	33729780	33710845,33717366,33726651,33729211,	33710879,33717893,33726838,33730799,
knownGene.uc001bxo.1.1.inc	CSMD2	CUB and Sushi multiple domains 2	chr1	-	33840728	33938707	33829993,33839051,33840555,33843468,33849227,33852690,33855092,33855685,33860353,33861556,33862705,33863237,33864672,33871608,33873400,33874546,33884834,33890509,33896132,33901076,33931116,33936939,33938703,33947275,	33830676,33839197,33840733,33843657,33849437,33852807,33855162,33855804,33860458,33861653,33862830,33863441,33864768,33871722,33873517,33874741,33885022,33890648,33896324,33901279,33931243,33937131,33938860,33947691,
knownGene.uc001bye.1.1	ZMYM6	ZMYM6 protein.	chr1	-	35220131	35223493	35219722,35221954,35223385,	35220307,35222135,35223513,
knownGene.uc001byo.1.1.inc	ZMYM1	Homo sapiens cDNA: FLJ23151 fis, clone LNG09417.	chr1	+	35351332	35353213	35317558,35331507,35332101,35334006,35335504,35342482,35342744,35348481,35349963,35350274,35351164,	35317630,35331629,35332271,35334079,35335754,35342657,35342957,35348635,35350100,35350318,35354042,
knownGene.uc001bzn.1.1	EIF2C3	Eukaryotic translation initiation factor 2C, 3.	chr1	+	36169614	36220840	36168905,36169416,36183879,36205142,36210211,36211562,36220808,	36168986,36169633,36184051,36205263,36210420,36211699,36221597,
knownGene.uc001bzs.1.1.inc	h-tektin-t	Homo sapiens mRNA for h-TEKTIN-t, complete cds.	chr1	+	36324122	36326275	36322531,36323057,36323350,36323892,36324891,36325118,36325391,36325626,36325915,36326160,	36322698,36323265,36323476,36324229,36325035,36325233,36325499,36325770,36325995,36326463,
knownGene.uc001bzu.1.1	arh3	Homo sapiens HPHase mRNA, complete cds.	chr1	+	36329959	36331574	36327072,36329805,36330097,36330609,36331284,	36327303,36330013,36330282,36330710,36332120,
knownGene.uc001caa.1.1	MAP7D1	arginine/proline rich coiled-coil 1	chr1	+	36394605	36418446	36394389,36409158,36409700,36410651,36411551,36413085,36414386,36414605,36414884,36416060,36416606,36416872,36417108,36417449,36417702,36417853,36418061,36418435,	36394651,36409503,36409769,36410815,36411666,36413196,36414509,36414769,36415030,36416389,36416784,36417011,36417213,36417503,36417745,36417944,36418255,36419028,
knownGene.uc001cau.1.1	CSF3R	Homo sapiens mRNA for colony stimulating factor 3 receptor isoform c precursor variant protein.	chr1	-	36704544	36706073	36704230,36705417,36705745,36706009,36706262,36707343,36707839,36709620,36710253,36710425,	36705015,36705499,36705839,36706178,36706409,36707445,36708028,36709834,36710327,36710579,
knownGene.uc001cbd.1.1.inc	RP3-423B22.2	Novel protein.	chr1	-	37739999	37751699	37730762,37734072,37739991,37747465,37747642,37751610,	37732295,37734106,37740184,37747511,37747730,37752454,
knownGene.uc001cbq.1.1.inc	C1orf109	C1orf109 protein.	chr1	-	37924625	37928106	37924531,37927916,37928592,37929717,37930288,	37924711,37928142,37928697,37929840,37930475,
knownGene.uc001ccb.1.1	RP11-109P14.5	Novel protein.	chr1	+	38046668	38047393	38045237,38047236,	38046991,38047713,
knownGene.uc001ccf.1.1.inc	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	chr1	-	38102679	38127895	38098955,38102570,38104019,38104717,38106759,38111188,38112251,38113864,38116446,38118343,38121065,38123896,38125146,38125609,38126501,38127815,38129616,38169931,	38100689,38102682,38104147,38104802,38106873,38111424,38112414,38113975,38116582,38118453,38121177,38124084,38125263,38125724,38126603,38127983,38129713,38170008,
knownGene.uc001ccr.1.1.inc	RRAGC	Ras-related GTP binding C	chr1	-	39077907	39095248	39077605,39084197,39089873,39090632,39093966,39095137,39102895,39105138,39105820,39111276,39111853,39112410,	39077963,39084346,39090016,39090747,39094166,39095341,39102973,39105268,39105869,39111349,39112168,39112753,
knownGene.uc001cde.1.1	MACF1	Microtubule-actin crosslinking factor 1 (Fragment).	chr1	+	39700164	39724053	39700141,39701870,39706873,39718056,39719178,39722859,39723796,	39700296,39701945,39706991,39718268,39719289,39722989,39725376,
knownGene.uc001cdl.1.1.inc	PABPC4	poly A binding protein, cytoplasmic 4	chr1	-	39800439	39810840	39799074,39799943,39800331,39800581,39801872,39802094,39802681,39802944,39803364,39806009,39807060,39807853,39808121,39809492,39810651,39814017,	39799381,39800046,39800462,39800675,39802000,39802181,39802801,39803032,39803637,39806105,39807198,39807948,39808261,39809608,39810845,39814286,
knownGene.uc001cem.1.1	TRIT1	tRNA isopentenyltransferase 1	chr1	-	40080002	40121750	40079314,40082359,40082789,40085478,40085806,40086244,40088377,40090989,40121576,	40080172,40082477,40082899,40085556,40085919,40086350,40088520,40091135,40121764,
knownGene.uc001cex.1.1	MFSD2	major facilitator superfamily domain containing	chr1	+	40205425	40207827	40205336,40205886,40206062,40206592,40206827,40207763,	40205428,40205970,40206175,40206736,40207004,40208215,
knownGene.uc001cfd.1.1	RLF	rearranged L-myc fusion sequence	chr1	+	40469755	40478706	40469062,40474050,	40469917,40479178,
knownGene.uc001cfn.1.1	ZNF643	Novel zinc finger protein (Fragment).	chr1	+	40689220	40701848	40688923,40692461,40695203,40695602,40700679,	40689347,40692547,40695330,40695698,40701939,
knownGene.uc001chp.1.1.inc	PFDN6L	Homo sapiens mRNA; cDNA DKFZp686E0736 (from clone DKFZp686E0736).	chr1	+	42774823	42827672	42774733,42804553,42815277,42819617,42827578,	42774859,42804733,42815487,42819772,42833811,
knownGene.uc001chu.1.1.inc	CLDN19	Claudin-19.	chr1	-	42974188	42978258	42973252,42976486,42976678,42978098,	42974288,42976571,42976843,42978512,
knownGene.uc001chy.1.1.inc	LEPRE1	Homo sapiens GROS1-S protein mRNA, complete cds.	chr1	-	43000604	43005163	42998257,43004764,	43000733,43005270,
knownGene.uc001cif.1.1	ERMAP	erythroblast membrane-associated protein	chr1	+	43069210	43081490	43068172,43073295,43073989,43075415,43077158,43078290,43078409,43078527,43080774,	43069373,43073412,43074022,43075448,43077179,43078311,43078436,43078554,43083247,
knownGene.uc001cjl.1.1.inc	RP11-506B15.3	CDNA FLJ45025 fis, clone BRAWH3017260 (KIAA0467 protein).	chr1	+	43684215	43688417	43683509,43684436,43684599,43685212,43685802,43686106,43686336,43686869,43688360,43688594,	43684242,43684517,43684674,43685426,43685956,43686229,43686742,43686986,43688429,43690891,
knownGene.uc001cmf.1.1	MGC33556	Homo sapiens p40 mRNA, complete cds.	chr1	+	44935364	44963662	44935360,44936321,44939181,44942347,44962380,44962578,44962797,44963020,44963394,44963549,	44935429,44936488,44939378,44942432,44962503,44962651,44962927,44963098,44963476,44963848,
